TimeStep, Goal_X, Goal_Y, Goal_Z, Goal_QX, Goal_QY, Goal_QZ, Goal_QW
122, 1.425953, -0.240653, -0.164446, 0.000000, 0.000000, 0.136768, 0.990603
TerrainType, step_start, step_height, step_width, stair_start, stair_height, stair_width, fissure_start, fissure_width, down_start, down_height, down_width
4, 0.484182, 0.061332, 0.685996, 0.453964, 0.072662, 0.994498, 0.498103, 0.170983, 0.000000, 0.000000, 0.000000
Time, LF_Contact, RF_Contact, LH_Contact, RH_Contact, LF_X, LF_Y, LF_Z, RF_X, RF_Y, RF_Z, LH_X, LH_Y, LH_Z, RH_X, RH_Y, RH_Z, Base_X, Base_Y, Base_Z, Base_VX, Base_VY, Base_VZ, Base_AX, Base_AY, Base_AZ, Base_QX, Base_QY, Base_QZ, Base_QW, Base_WX, Base_WY, Base_WZ, Base_WXd, Base_WYd, Base_WZd
0.000000, 1, 1, 1, 1, 0.231000, 0.084500, 3.000000, 0.231000, -0.084500, 3.000000, -0.231000, 0.084500, 3.000000, -0.231000, -0.084500, 3.000000, 0.000000, 0.000000, 3.250000, 0.000000, 0.000000, 0.000000, -0.000000, 0.000000, -9.805224, 0.000000, 0.000000, 0.000000, 1.000000, 0.000000, 0.000000, 0.000000, 0.000126, -0.000049, -0.000029
0.010000, 1, 1, 1, 1, 0.231000, 0.084500, 3.000000, 0.231000, -0.084500, 3.000000, -0.231000, 0.084500, 3.000000, -0.231000, -0.084500, 3.000000, 0.000013, -0.000004, 3.249542, 0.003866, -0.001091, -0.088467, 0.773126, -0.218169, -7.888176, -0.000010, -0.000005, -0.000001, 1.000000, -0.006091, -0.003084, -0.000751, -1.218240, -0.616705, -0.150097
0.020000, 1, 1, 1, 1, 0.231000, 0.084500, 3.000000, 0.231000, -0.084500, 3.000000, -0.231000, 0.084500, 3.000000, -0.231000, -0.084500, 3.000000, 0.000103, -0.000029, 3.248295, 0.015463, -0.004363, -0.157764, 1.546251, -0.436339, -5.971127, -0.000081, -0.000041, -0.000010, 1.000000, -0.024365, -0.012334, -0.003003, -2.436660, -1.233255, -0.300603
0.030000, 1, 1, 1, 1, 0.231000, 0.084500, 3.000000, 0.231000, -0.084500, 3.000000, -0.231000, 0.084500, 3.000000, -0.231000, -0.084500, 3.000000, 0.000348, -0.000098, 3.246450, 0.034791, -0.009818, -0.207890, 2.319377, -0.654508, -4.054078, -0.000274, -0.000139, -0.000034, 1.000000, -0.054824, -0.027748, -0.006768, -3.655272, -1.849424, -0.452675
0.040000, 1, 1, 1, 1, 0.231000, 0.084500, 3.000000, 0.231000, -0.084500, 3.000000, -0.231000, 0.084500, 3.000000, -0.231000, -0.084500, 3.000000, 0.000825, -0.000233, 3.244201, 0.061850, -0.017454, -0.238845, 3.092503, -0.872677, -2.137029, -0.000650, -0.000329, -0.000080, 1.000000, -0.097472, -0.049319, -0.012068, -4.874306, -2.464754, -0.608190
0.050000, 1, 1, 1, 1, 0.231000, 0.084500, 3.000000, 0.231000, -0.084500, 3.000000, -0.231000, 0.084500, 3.000000, -0.231000, -0.084500, 3.000000, 0.001611, -0.000455, 3.241737, 0.096641, -0.027271, -0.250630, 3.865628, -1.090847, -0.219980, -0.001269, -0.000642, -0.000157, 0.999999, -0.152313, -0.077038, -0.018952, -6.094074, -3.078607, -0.769778
0.060000, 1, 1, 1, 1, 0.231000, 0.084500, 3.000000, 0.231000, -0.084500, 3.000000, -0.231000, 0.084500, 3.000000, -0.231000, -0.084500, 3.000000, 0.002783, -0.000785, 3.239252, 0.139163, -0.039270, -0.243245, 4.638754, -1.309016, 1.697069, -0.002193, -0.001109, -0.000273, 0.999997, -0.219357, -0.110884, -0.027495, -7.314968, -3.690159, -0.940820
0.070000, 1, 1, 1, 1, 0.231000, 0.084500, 3.000000, 0.231000, -0.084500, 3.000000, -0.231000, 0.084500, 3.000000, -0.231000, -0.084500, 3.000000, 0.004420, -0.001247, 3.236936, 0.189416, -0.053451, -0.216689, 5.411880, -1.527186, 3.614117, -0.003483, -0.001761, -0.000435, 0.999992, -0.298618, -0.150830, -0.037813, -8.537442, -4.298402, -1.125448
0.080000, 1, 1, 1, 1, 0.231000, 0.084500, 3.000000, 0.231000, -0.084500, 3.000000, -0.231000, 0.084500, 3.000000, -0.231000, -0.084500, 3.000000, 0.006597, -0.001862, 3.234982, 0.247400, -0.069814, -0.170962, 6.185005, -1.745355, 5.531166, -0.005200, -0.002628, -0.000654, 0.999983, -0.390113, -0.196837, -0.050066, -9.761992, -4.902147, -1.328546
0.090000, 1, 1, 0, 1, 0.231000, 0.084500, 3.000000, 0.231000, -0.084500, 3.000000, -0.230997, 0.084499, 3.000001, -0.231000, -0.084500, 3.000000, 0.009393, -0.002651, 3.233581, 0.313116, -0.088359, -0.106065, 6.958131, -1.963525, 7.448215, -0.007405, -0.003739, -0.000939, 0.999965, -0.493866, -0.248853, -0.064464, -10.989125, -5.500017, -1.555746
