TimeStep, Goal_X, Goal_Y, Goal_Z, Goal_QX, Goal_QY, Goal_QZ, Goal_QW
163, 1.048071, -0.122866, 0.045535, 0.000000, 0.000000, -0.127998, 0.991774
TerrainType, step_start, step_height, step_width, stair_start, stair_height, stair_width, fissure_start, fissure_width, down_start, down_height, down_width
1, 0.444149, 0.045535, 0.701651, 0.504335, 0.052015, 1.050165, 0.477378, 0.124291, 0.000000, 0.000000, 0.000000
Time, LF_Contact, RF_Contact, LH_Contact, RH_Contact, LF_X, LF_Y, LF_Z, RF_X, RF_Y, RF_Z, LH_X, LH_Y, LH_Z, RH_X, RH_Y, RH_Z, Base_X, Base_Y, Base_Z, Base_VX, Base_VY, Base_VZ, Base_AX, Base_AY, Base_AZ, Base_QX, Base_QY, Base_QZ, Base_QW, Base_WX, Base_WY, Base_WZ, Base_WXd, Base_WYd, Base_WZd
0.000000, 1, 1, 1, 1, 0.231000, 0.084500, 0.000000, 0.231000, -0.084500, 0.000000, -0.231000, 0.084500, 0.000000, -0.231000, -0.084500, 0.000000, 0.000000, 0.000000, 0.250000, 0.000000, 0.000000, 0.000000, -0.000002, -0.000016, -9.799709, 0.000000, 0.000000, 0.000000, 1.000000, 0.000000, 0.000000, 0.000000, -0.004342, 0.001360, 0.001814
0.010000, 1, 1, 1, 1, 0.231000, 0.084500, 0.000000, 0.231000, -0.084500, 0.000000, -0.231000, 0.084500, 0.000000, -0.231000, -0.084500, 0.000000, -0.000000, -0.000002, 0.249546, -0.000058, -0.000464, -0.087134, -0.011676, -0.092883, -7.627144, 0.000006, -0.000023, -0.000012, 1.000000, 0.003679, -0.013776, -0.007334, 0.740135, -2.756493, -1.468558
0.020000, 1, 1, 1, 1, 0.231000, 0.084500, 0.000000, 0.231000, -0.084500, 0.000000, -0.231000, 0.084500, 0.000000, -0.231000, -0.084500, 0.000000, -0.000002, -0.000012, 0.248330, -0.000234, -0.001858, -0.152543, -0.023350, -0.185751, -5.454578, 0.000049, -0.000184, -0.000098, 1.000000, 0.014795, -0.055132, -0.029367, 1.482249, -5.514981, -2.937737
0.030000, 1, 1, 1, 1, 0.231000, 0.084500, 0.000000, 0.231000, -0.084500, 0.000000, -0.231000, 0.084500, 0.000000, -0.231000, -0.084500, 0.000000, -0.000005, -0.000042, 0.246568, -0.000525, -0.004180, -0.196226, -0.035024, -0.278618, -3.282013, 0.000166, -0.000620, -0.000330, 1.000000, 0.033297, -0.124083, -0.066075, 2.215915, -8.275737, -4.402648
0.040000, 1, 1, 1, 1, 0.231000, 0.084500, 0.000000, 0.231000, -0.084500, 0.000000, -0.231000, 0.084500, 0.000000, -0.231000, -0.084500, 0.000000, -0.000012, -0.000099, 0.244478, -0.000934, -0.007430, -0.218183, -0.046698, -0.371486, -1.109448, 0.000394, -0.001471, -0.000783, 0.999999, 0.059052, -0.220663, -0.117389, 2.930957, -11.041462, -5.858164
0.050000, 1, 1, 1, 1, 0.231000, 0.084500, 0.000000, 0.231000, -0.084500, 0.000000, -0.231000, 0.084500, 0.000000, -0.231000, -0.084500, 0.000000, -0.000024, -0.000193, 0.242277, -0.001459, -0.011609, -0.218415, -0.058372, -0.464353, 1.063117, 0.000769, -0.002873, -0.001528, 0.999994, 0.091807, -0.344941, -0.183183, 3.613042, -13.815866, -7.297102
0.060000, 1, 1, 1, 1, 0.231000, 0.084500, 0.000000, 0.231000, -0.084500, 0.000000, -0.231000, 0.084500, 0.000000, -0.231000, -0.084500, 0.000000, -0.000042, -0.000334, 0.240182, -0.002101, -0.016717, -0.196921, -0.070046, -0.557220, 3.235682, 0.001323, -0.004966, -0.002639, 0.999983, 0.131141, -0.497025, -0.263246, 4.243555, -16.603563, -8.710229
0.070000, 1, 1, 1, 1, 0.231000, 0.084500, 0.000000, 0.231000, -0.084500, 0.000000, -0.231000, 0.084500, 0.000000, -0.231000, -0.084500, 0.000000, -0.000067, -0.000531, 0.238411, -0.002860, -0.022754, -0.153701, -0.081720, -0.650088, 5.408247, 0.002090, -0.007890, -0.004184, 0.999958, 0.176429, -0.677074, -0.357264, 4.799386, -19.409889, -10.086263
0.080000, 1, 1, 1, 1, 0.231000, 0.084500, 0.000000, 0.231000, -0.084500, 0.000000, -0.231000, 0.084500, 0.000000, -0.231000, -0.084500, 0.000000, -0.000100, -0.000793, 0.237180, -0.003736, -0.029719, -0.088756, -0.093394, -0.742955, 7.580812, 0.003096, -0.011784, -0.006233, 0.999906, 0.226788, -0.885304, -0.464803, 5.252629, -22.240627, -11.411889
0.090000, 1, 1, 0, 1, 0.231000, 0.084500, 0.000000, 0.231000, -0.084500, 0.000000, -0.230997, 0.084500, 0.000001, -0.231000, -0.084500, 0.000000, -0.000142, -0.001128, 0.236708, -0.004728, -0.037613, -0.002085, -0.105068, -0.835823, 9.753377, 0.004365, -0.016790, -0.008852, 0.999810, 0.281030, -1.121987, -0.585283, 5.570162, -25.101606, -12.671780
0.100000, 1, 1, 0, 1, 0.231000, 0.084500, 0.000000, 0.231000, -0.084500, 0.000000, -0.222910, 0.084171, 0.003793, -0.231000, -0.084500, 0.000000, -0.000195, -0.001548, 0.237211, -0.005837, -0.046435, 0.106312, -0.116742, -0.928690, 11.925943, 0.005911, -0.023050, -0.012103, 0.999644, 0.337610, -1.387455, -0.717962, 5.713104, -27.998138, -13.848649
0.110000, 1, 1, 0, 1, 0.231000, 0.084500, 0.000000, 0.231000, -0.084500, 0.000000, -0.203094, 0.083364, 0.012923, -0.231000, -0.084500, 0.000000, -0.000241, -0.002055, 0.238840, -0.001770, -0.054744, 0.216586, 0.930226, -0.732953, 10.128969, 0.007722, -0.030623, -0.016008, 0.999373, 0.382244, -1.630379, -0.840538, 3.234552, -20.579602, -10.679803
0.120000, 1, 1, 0, 1, 0.231000, 0.084500, 0.000000, 0.231000, -0.084500, 0.000000, -0.177275, 0.082314, 0.024468, -0.231000, -0.084500, 0.000000, -0.000195, -0.002636, 0.241483, 0.012767, -0.061094, 0.308891, 1.977194, -0.537216, 8.331994, 0.009694, -0.039223, -0.020442, 0.998974, 0.402864, -1.798871, -0.931896, 0.924262, -13.108633, -7.611649
0.130000, 1, 1, 0, 1, 0.231000, 0.084500, 0.000000, 0.231000, -0.084500, 0.000000, -0.151181, 0.081252, 0.035506, -0.231000, -0.084500, 0.000000, 0.000049, -0.003271, 0.244958, 0.037774, -0.065488, 0.383226, 3.024162, -0.341478, 6.535020, 0.011711, -0.048476, -0.025250, 0.998436, 0.401536, -1.892336, -0.993219, -1.144394, -5.573178, -4.677389
