TimeStep, Goal_X, Goal_Y, Goal_Z, Goal_QX, Goal_QY, Goal_QZ, Goal_QW
169, 2.111925, 0.106512, -0.155223, 0.000000, 0.000000, -0.115615, 0.993294
TerrainType, step_start, step_height, step_width, stair_start, stair_height, stair_width, fissure_start, fissure_width, down_start, down_height, down_width
4, 0.444149, 0.045535, 0.701651, 0.469140, 0.104325, 1.036094, 0.477378, 0.124291, 0.000000, 0.000000, 0.000000
Time, LF_Contact, RF_Contact, LH_Contact, RH_Contact, LF_X, LF_Y, LF_Z, RF_X, RF_Y, RF_Z, LH_X, LH_Y, LH_Z, RH_X, RH_Y, RH_Z, Base_X, Base_Y, Base_Z, Base_VX, Base_VY, Base_VZ, Base_AX, Base_AY, Base_AZ, Base_QX, Base_QY, Base_QZ, Base_QW, Base_WX, Base_WY, Base_WZ, Base_WXd, Base_WYd, Base_WZd
0.000000, 1, 1, 1, 1, 0.231000, 0.084500, 3.000000, 0.231000, -0.084500, 3.000000, -0.231000, 0.084500, 3.000000, -0.231000, -0.084500, 3.000000, 0.000000, 0.000000, 3.250000, 0.000000, 0.000000, 0.000000, 2.571469, -1.382611, -1.921882, 0.000000, 0.000000, 0.000000, 1.000000, 0.000000, 0.000000, 0.000000, 79.945040, -79.550049, 71.463913
0.010000, 1, 1, 1, 1, 0.231000, 0.084500, 3.000000, 0.231000, -0.084500, 3.000000, -0.231000, 0.084500, 3.000000, -0.231000, -0.084500, 3.000000, 0.000146, -0.000072, 3.249928, 0.030912, -0.014771, -0.012063, 3.610915, -1.571541, -0.490711, 0.001868, -0.001835, 0.001668, 0.999995, 0.721693, -0.702431, 0.643932, 64.578302, -60.739868, 57.535703
0.020000, 1, 1, 1, 1, 0.231000, 0.084500, 3.000000, 0.231000, -0.084500, 3.000000, -0.231000, 0.084500, 3.000000, -0.231000, -0.084500, 3.000000, 0.000653, -0.000302, 3.249806, 0.072218, -0.031431, -0.009814, 4.650362, -1.760471, 0.940461, 0.006968, -0.006703, 0.006215, 0.999934, 1.293461, -1.212452, 1.153124, 49.789016, -41.218367, 44.340198
0.030000, 1, 1, 1, 1, 0.231000, 0.084500, 3.000000, 0.231000, -0.084500, 3.000000, -0.231000, 0.084500, 3.000000, -0.231000, -0.084500, 3.000000, 0.001625, -0.000707, 3.249779, 0.123919, -0.049980, 0.006746, 5.689808, -1.949400, 2.371632, 0.014557, -0.013632, 0.012974, 0.999717, 1.716441, -1.527097, 1.530115, 34.701197, -21.779605, 30.968010
0.040000, 1, 1, 1, 1, 0.231000, 0.084500, 3.000000, 0.231000, -0.084500, 3.000000, -0.231000, 0.084500, 3.000000, -0.231000, -0.084500, 3.000000, 0.003166, -0.001308, 3.249989, 0.186014, -0.070419, 0.037618, 6.729254, -2.138330, 3.802803, 0.023881, -0.021649, 0.021268, 0.999254, 1.984620, -1.650301, 1.769800, 18.764875, -3.011053, 16.800272
0.050000, 1, 1, 1, 1, 0.231000, 0.084500, 3.000000, 0.231000, -0.084500, 3.000000, -0.231000, 0.084500, 3.000000, -0.231000, -0.084500, 3.000000, 0.005380, -0.002122, 3.250579, 0.258504, -0.092747, 0.082802, 7.768700, -2.327260, 5.233975, 0.034148, -0.029817, 0.030374, 0.998510, 2.088127, -1.590826, 1.862346, 1.754683, 14.712983, 1.510006
0.060000, 1, 1, 1, 1, 0.231000, 0.084500, 3.000000, 0.231000, -0.084500, 3.000000, -0.231000, 0.084500, 3.000000, -0.231000, -0.084500, 3.000000, 0.008371, -0.003169, 3.251693, 0.341388, -0.116964, 0.142298, 8.808147, -2.516189, 6.665146, 0.044514, -0.037247, 0.039516, 0.997532, 2.016296, -1.360012, 1.796111, -16.273406, 31.254528, -14.937439
0.070000, 1, 1, 1, 1, 0.231000, 0.084500, 3.000000, 0.231000, -0.084500, 3.000000, -0.231000, 0.084500, 3.000000, -0.231000, -0.084500, 3.000000, 0.012242, -0.004467, 3.253473, 0.434667, -0.143071, 0.216105, 9.847593, -2.705119, 8.096317, 0.054089, -0.043116, 0.047860, 0.996456, 1.760168, -0.969300, 1.560561, -35.043350, 46.735852, -32.286096
0.080000, 1, 1, 1, 1, 0.231000, 0.084500, 3.000000, 0.231000, -0.084500, 3.000000, -0.231000, 0.084500, 3.000000, -0.231000, -0.084500, 3.000000, 0.017099, -0.006037, 3.256063, 0.538340, -0.171066, 0.304224, 10.887039, -2.894049, 9.527489, 0.061951, -0.046656, 0.054536, 0.995495, 1.314414, -0.427535, 1.149165, -54.113134, 61.554477, -49.992520
0.090000, 1, 1, 1, 1, 0.231000, 0.084500, 3.000000, 0.231000, -0.084500, 3.000000, -0.231000, 0.084500, 3.000000, -0.231000, -0.084500, 3.000000, 0.023044, -0.007895, 3.259605, 0.652408, -0.200952, 0.406655, 11.926486, -3.082978, 10.958660, 0.067168, -0.047136, 0.058656, 0.994900, 0.678843, 0.261804, 0.562250, -72.896108, 76.386528, -67.227621
0.100000, 1, 1, 1, 1, 0.231000, 0.084500, 3.000000, 0.231000, -0.084500, 3.000000, -0.231000, 0.084500, 3.000000, -0.231000, -0.084500, 3.000000, 0.030181, -0.010062, 3.264243, 0.776870, -0.232726, 0.523397, 12.965932, -3.271908, 12.389831, 0.068827, -0.043823, 0.059351, 0.994897, -0.140024, 1.103369, -0.190125, -90.624161, 92.178969, -82.873993
