TimeStep, Goal_X, Goal_Y, Goal_Z, Goal_QX, Goal_QY, Goal_QZ, Goal_QW
247, 3.096759, 0.277436, -0.209336, 0.000000, 0.000000, 0.011095, 0.999938
TerrainType, step_start, step_height, step_width, stair_start, stair_height, stair_width, fissure_start, fissure_width, down_start, down_height, down_width
4, 0.509041, 0.059616, 0.719378, 0.550497, 0.066886, 0.954386, 0.528834, 0.147749, 0.000000, 0.000000, 0.000000
Time, LF_Contact, RF_Contact, LH_Contact, RH_Contact, LF_X, LF_Y, LF_Z, RF_X, RF_Y, RF_Z, LH_X, LH_Y, LH_Z, RH_X, RH_Y, RH_Z, Base_X, Base_Y, Base_Z, Base_VX, Base_VY, Base_VZ, Base_AX, Base_AY, Base_AZ, Base_QX, Base_QY, Base_QZ, Base_QW, Base_WX, Base_WY, Base_WZ, Base_WXd, Base_WYd, Base_WZd
0.000000, 1, 1, 1, 1, 0.231000, 0.084500, 3.000000, 0.231000, -0.084500, 3.000000, -0.231000, 0.084500, 3.000000, -0.231000, -0.084500, 3.000000, 0.000000, 0.000000, 3.250000, 0.000000, 0.000000, 0.000000, 1.060647, 0.729928, -6.740131, 0.000000, 0.000000, 0.000000, 1.000000, 0.000000, 0.000000, 0.000000, 13.597754, -79.483140, 12.573884
0.010000, 1, 1, 1, 1, 0.231000, 0.084500, 3.000000, 0.231000, -0.084500, 3.000000, -0.231000, 0.084500, 3.000000, -0.231000, -0.084500, 3.000000, 0.000070, 0.000039, 3.249674, 0.015714, 0.008074, -0.064130, 2.082080, 0.884920, -6.085843, 0.000325, -0.001834, 0.000299, 0.999998, 0.127058, -0.703234, 0.116780, 11.847976, -61.156999, 10.821254
0.020000, 1, 1, 1, 1, 0.231000, 0.084500, 3.000000, 0.231000, -0.084500, 3.000000, -0.231000, 0.084500, 3.000000, -0.231000, -0.084500, 3.000000, 0.000348, 0.000167, 3.248739, 0.041642, 0.017698, -0.121717, 3.103512, 1.039912, -5.431555, 0.001243, -0.006727, 0.001140, 0.999976, 0.237349, -1.223042, 0.216940, 10.216068, -42.801286, 9.224146
0.030000, 1, 1, 1, 1, 0.231000, 0.084500, 3.000000, 0.231000, -0.084500, 3.000000, -0.231000, 0.084500, 3.000000, -0.231000, -0.084500, 3.000000, 0.000937, 0.000398, 3.247261, 0.077784, 0.028872, -0.172761, 4.124945, 1.194905, -4.777267, 0.002672, -0.013758, 0.002441, 0.999899, 0.331267, -1.559223, 0.301319, 8.551700, -24.434582, 7.645078
0.040000, 1, 1, 1, 1, 0.231000, 0.084500, 3.000000, 0.231000, -0.084500, 3.000000, -0.231000, 0.084500, 3.000000, -0.231000, -0.084500, 3.000000, 0.001938, 0.000749, 3.245306, 0.124140, 0.041596, -0.217262, 5.146378, 1.349897, -4.122979, 0.004531, -0.022011, 0.004121, 0.999739, 0.407901, -1.711750, 0.369553, 6.744247, -6.072876, 5.980715
0.050000, 1, 1, 1, 1, 0.231000, 0.084500, 3.000000, 0.231000, -0.084500, 3.000000, -0.231000, 0.084500, 3.000000, -0.231000, -0.084500, 3.000000, 0.003454, 0.001235, 3.242938, 0.180711, 0.055870, -0.255221, 6.167811, 1.504889, -3.468690, 0.006730, -0.030565, 0.006093, 0.999492, 0.465437, -1.680743, 0.420415, 4.723653, 12.270297, 4.162111
0.060000, 1, 1, 1, 1, 0.231000, 0.084500, 3.000000, 0.231000, -0.084500, 3.000000, -0.231000, 0.084500, 3.000000, -0.231000, -0.084500, 3.000000, 0.005586, 0.001872, 3.240223, 0.247497, 0.071694, -0.286636, 7.189244, 1.659882, -2.814402, 0.009175, -0.038504, 0.008260, 0.999182, 0.501552, -1.466442, 0.452163, 2.457562, 30.584281, 2.154897
0.070000, 1, 1, 1, 1, 0.231000, 0.084500, 3.000000, 0.231000, -0.084500, 3.000000, -0.231000, 0.084500, 3.000000, -0.231000, -0.084500, 3.000000, 0.008438, 0.002674, 3.237227, 0.324496, 0.089068, -0.311509, 8.210677, 1.814874, -2.160114, 0.011757, -0.044913, 0.010515, 0.998866, 0.513769, -1.069179, 0.462881, -0.053476, 48.861975, -0.040865
0.080000, 1, 1, 1, 1, 0.231000, 0.084500, 3.000000, 0.231000, -0.084500, 3.000000, -0.231000, 0.084500, 3.000000, -0.231000, -0.084500, 3.000000, 0.012110, 0.003658, 3.234015, 0.411710, 0.107992, -0.329838, 9.232110, 1.969866, -1.505826, 0.014362, -0.048880, 0.012737, 0.998620, 0.499758, -0.489334, 0.450827, -2.780969, 67.100516, -2.391169
0.090000, 1, 1, 1, 1, 0.231000, 0.084500, 3.000000, 0.231000, -0.084500, 3.000000, -0.231000, 0.084500, 3.000000, -0.231000, -0.084500, 3.000000, 0.016706, 0.004839, 3.230652, 0.509139, 0.128465, -0.341625, 10.253543, 2.124859, -0.851538, 0.016864, -0.049496, 0.014798, 0.998522, 0.457602, 0.272707, 0.414764, -5.671826, 85.301834, -4.828595
0.100000, 1, 1, 1, 1, 0.231000, 0.084500, 3.000000, 0.231000, -0.084500, 3.000000, -0.231000, 0.084500, 3.000000, -0.231000, -0.084500, 3.000000, 0.022327, 0.006233, 3.227204, 0.616781, 0.150489, -0.346869, 11.274976, 2.279851, -0.197250, 0.019133, -0.045852, 0.016559, 0.998628, 0.386033, 1.216602, 0.354296, -8.648358, 103.473103, -7.252398
0.110000, 1, 1, 1, 1, 0.231000, 0.084500, 3.000000, 0.231000, -0.084500, 3.000000, -0.231000, 0.084500, 3.000000, -0.231000, -0.084500, 3.000000, 0.029027, 0.007846, 3.223745, 0.719917, 0.171614, -0.343053, 9.351867, 1.943076, 0.961448, 0.021063, -0.037340, 0.017911, 0.998920, 0.301732, 2.161412, 0.286667, -8.168004, 85.492677, -6.241242
0.120000, 1, 1, 1, 1, 0.231000, 0.084500, 3.000000, 0.231000, -0.084500, 3.000000, -0.231000, 0.084500, 3.000000, -0.231000, -0.084500, 3.000000, 0.036661, 0.009654, 3.220382, 0.803818, 0.189350, -0.327640, 7.428515, 1.604250, 2.121176, 0.022649, -0.024553, 0.018874, 0.999264, 0.223399, 2.926525, 0.230030, -7.469053, 67.532930, -5.062435
0.130000, 1, 1, 1, 1, 0.231000, 0.084500, 3.000000, 0.231000, -0.084500, 3.000000, -0.231000, 0.084500, 3.000000, -0.231000, -0.084500, 3.000000, 0.045039, 0.011622, 3.217231, 0.868487, 0.203699, -0.300630, 5.505162, 1.265423, 3.280905, 0.023914, -0.008385, 0.019515, 0.999488, 0.152835, 3.512124, 0.185821, -6.624292, 49.589273, -3.762673
