TimeStep, Goal_X, Goal_Y, Goal_Z, Goal_QX, Goal_QY, Goal_QZ, Goal_QW
251, 2.235192, 0.818672, 0.000000, 0.000000, 0.000000, -0.131560, 0.991308
TerrainType, step_start, step_height, step_width, stair_start, stair_height, stair_width, fissure_start, fissure_width, down_start, down_height, down_width
0, 0.509041, 0.059616, 0.719378, 0.553905, 0.065324, 0.989317, 0.528834, 0.147749, 0.000000, 0.000000, 0.000000
Time, LF_Contact, RF_Contact, LH_Contact, RH_Contact, LF_X, LF_Y, LF_Z, RF_X, RF_Y, RF_Z, LH_X, LH_Y, LH_Z, RH_X, RH_Y, RH_Z, Base_X, Base_Y, Base_Z, Base_VX, Base_VY, Base_VZ, Base_AX, Base_AY, Base_AZ, Base_QX, Base_QY, Base_QZ, Base_QW, Base_WX, Base_WY, Base_WZ, Base_WXd, Base_WYd, Base_WZd
0.000000, 1, 1, 1, 1, 0.231000, 0.084500, 0.000000, 0.231000, -0.084500, 0.000000, -0.231000, 0.084500, 0.000000, -0.231000, -0.084500, 0.000000, 0.000000, 0.000000, 0.250000, 0.000000, 0.000000, 0.000000, -4.831381, -0.384498, 5.807717, 0.000000, 0.000000, 0.000000, 1.000000, 0.000000, 0.000000, 0.000000, 38.255733, 114.706168, 2.170870
0.010000, 1, 1, 1, 1, 0.231000, 0.084500, 0.000000, 0.231000, -0.084500, 0.000000, -0.231000, 0.084500, 0.000000, -0.231000, -0.084500, 0.000000, -0.000217, -0.000020, 0.250273, -0.041068, -0.004161, 0.052738, -3.382272, -0.447716, 4.739830, 0.000882, 0.002683, 0.000023, 0.999996, 0.337811, 1.036375, 0.002659, 29.306365, 92.568402, -1.783922
0.020000, 1, 1, 1, 1, 0.231000, 0.084500, 0.000000, 0.231000, -0.084500, 0.000000, -0.231000, 0.084500, 0.000000, -0.231000, -0.084500, 0.000000, -0.000773, -0.000085, 0.251019, -0.067645, -0.008954, 0.094797, -1.933162, -0.510934, 3.671944, 0.003230, 0.009994, -0.000045, 0.999945, 0.586291, 1.851293, -0.037249, 20.403614, 70.409134, -6.216436
0.030000, 1, 1, 1, 1, 0.231000, 0.084500, 0.000000, 0.231000, -0.084500, 0.000000, -0.231000, 0.084500, 0.000000, -0.231000, -0.084500, 0.000000, -0.001522, -0.000201, 0.252133, -0.079732, -0.014380, 0.126177, -0.484053, -0.574152, 2.604057, 0.006601, 0.020823, -0.000425, 0.999761, 0.746233, 2.444422, -0.121046, 11.604542, 48.210152, -10.468569
0.040000, 1, 1, 1, 1, 0.231000, 0.084500, 0.000000, 0.231000, -0.084500, 0.000000, -0.231000, 0.084500, 0.000000, -0.231000, -0.084500, 0.000000, -0.002319, -0.000375, 0.253507, -0.077326, -0.020437, 0.146878, 0.965056, -0.637370, 1.536170, 0.010562, 0.034055, -0.001329, 0.999363, 0.818786, 2.815401, -0.244463, 2.925428, 25.983767, -14.080078
0.050000, 1, 1, 1, 1, 0.231000, 0.084500, 0.000000, 0.231000, -0.084500, 0.000000, -0.231000, 0.084500, 0.000000, -0.231000, -0.084500, 0.000000, -0.003020, -0.000612, 0.255035, -0.060430, -0.027127, 0.156900, 2.414165, -0.700588, 0.468284, 0.014691, 0.048571, -0.002941, 0.998707, 0.805067, 2.964144, -0.399623, -5.658140, 3.772360, -16.790942
0.060000, 1, 1, 1, 1, 0.231000, 0.084500, 0.000000, 0.231000, -0.084500, 0.000000, -0.231000, 0.084500, 0.000000, -0.231000, -0.084500, 0.000000, -0.003480, -0.000920, 0.256609, -0.029043, -0.034449, 0.156243, 3.863274, -0.763806, -0.599603, 0.018574, 0.063251, -0.005404, 0.997810, 0.705657, 2.891135, -0.577063, -14.234852, -18.351999, -18.542827
0.070000, 1, 1, 1, 1, 0.231000, 0.084500, 0.000000, 0.231000, -0.084500, 0.000000, -0.231000, 0.084500, 0.000000, -0.231000, -0.084500, 0.000000, -0.003553, -0.001303, 0.258124, 0.016835, -0.042403, 0.144908, 5.312383, -0.827024, -1.667489, 0.021806, 0.076980, -0.008816, 0.996755, 0.519783, 2.597732, -0.767733, -22.992191, -40.286700, -19.477139
0.080000, 1, 1, 1, 1, 0.231000, 0.084500, 0.000000, 0.231000, -0.084500, 0.000000, -0.231000, 0.084500, 0.000000, -0.231000, -0.084500, 0.000000, -0.003095, -0.001770, 0.259472, 0.077204, -0.050990, 0.122894, 6.761492, -0.890242, -2.735376, 0.023979, 0.088657, -0.013239, 0.995685, 0.244165, 2.086487, -0.964978, -32.248989, -61.894378, -19.929472
0.090000, 1, 1, 1, 1, 0.231000, 0.084500, 0.000000, 0.231000, -0.084500, 0.000000, -0.231000, 0.084500, 0.000000, -0.231000, -0.084500, 0.000000, -0.001960, -0.002325, 0.260546, 0.152065, -0.060208, 0.090200, 8.210601, -0.953460, -3.803262, 0.024670, 0.097198, -0.018724, 0.994783, -0.128406, 1.361536, -1.166440, -42.473330, -82.992733, -20.423254
