TimeStep, Goal_X, Goal_Y, Goal_Z, Goal_QX, Goal_QY, Goal_QZ, Goal_QW
287, 1.931915, 0.029208, 0.000000, 0.000000, 0.000000, 0.269954, 0.962873
TerrainType, step_start, step_height, step_width, stair_start, stair_height, stair_width, fissure_start, fissure_width, down_start, down_height, down_width
0, 0.492848, 0.043465, 0.668789, 0.492145, 0.067806, 1.040729, 0.515356, 0.172510, 0.000000, 0.000000, 0.000000
Time, LF_Contact, RF_Contact, LH_Contact, RH_Contact, LF_X, LF_Y, LF_Z, RF_X, RF_Y, RF_Z, LH_X, LH_Y, LH_Z, RH_X, RH_Y, RH_Z, Base_X, Base_Y, Base_Z, Base_VX, Base_VY, Base_VZ, Base_AX, Base_AY, Base_AZ, Base_QX, Base_QY, Base_QZ, Base_QW, Base_WX, Base_WY, Base_WZ, Base_WXd, Base_WYd, Base_WZd
0.000000, 1, 1, 1, 1, 0.231000, 0.084500, 0.000000, 0.231000, -0.084500, 0.000000, -0.231000, 0.084500, 0.000000, -0.231000, -0.084500, 0.000000, 0.000000, 0.000000, 0.250000, 0.000000, 0.000000, 0.000000, -0.487740, -0.510765, -8.746425, 0.000000, 0.000000, 0.000000, 1.000000, 0.000000, 0.000000, 0.000000, -162.095562, 56.455459, -1.264807
0.010000, 1, 1, 1, 1, 0.231000, 0.084500, 0.000000, 0.231000, -0.084500, 0.000000, -0.231000, 0.084500, 0.000000, -0.231000, -0.084500, 0.000000, -0.000013, -0.000034, 0.249579, -0.001315, -0.007615, -0.082465, 0.224760, -1.012319, -7.746570, -0.003727, 0.001301, -0.000015, 0.999992, -1.425661, 0.498386, -0.001669, -123.034919, 43.223166, 1.219675
0.020000, 1, 1, 1, 1, 0.231000, 0.084500, 0.000000, 0.231000, -0.084500, 0.000000, -0.231000, 0.084500, 0.000000, -0.231000, -0.084500, 0.000000, -0.000003, -0.000169, 0.248384, 0.004495, -0.020246, -0.154931, 0.937260, -1.513873, -6.746714, -0.013605, 0.004763, 0.000035, 0.999896, -2.460668, 0.864359, 0.027221, -83.964970, 29.961596, 4.569490
0.030000, 1, 1, 1, 1, 0.231000, 0.084500, 0.000000, 0.231000, -0.084500, 0.000000, -0.231000, 0.084500, 0.000000, -0.231000, -0.084500, 0.000000, 0.000101, -0.000456, 0.246514, 0.017430, -0.037893, -0.217399, 1.649760, -2.015428, -5.746858, -0.027680, 0.009717, 0.000312, 0.999570, -3.104943, 1.097385, 0.087861, -44.890335, 16.632036, 7.378492
0.040000, 1, 1, 1, 1, 0.231000, 0.084500, 0.000000, 0.231000, -0.084500, 0.000000, -0.231000, 0.084500, 0.000000, -0.231000, -0.084500, 0.000000, 0.000370, -0.000944, 0.244069, 0.037490, -0.060555, -0.269869, 2.362260, -2.516982, -4.747003, -0.043994, 0.015491, 0.000952, 0.998911, -3.358529, 1.196828, 0.169968, -5.832251, 3.252602, 8.757988
0.050000, 1, 1, 1, 1, 0.231000, 0.084500, 0.000000, 0.231000, -0.084500, 0.000000, -0.231000, 0.084500, 0.000000, -0.231000, -0.084500, 0.000000, 0.000875, -0.001683, 0.241150, 0.064676, -0.088233, -0.312339, 3.074760, -3.018536, -3.747147, -0.060593, 0.021403, 0.002024, 0.997931, -3.221737, 1.162514, 0.256963, 33.181842, -10.101866, 8.337618
0.060000, 1, 1, 1, 1, 0.231000, 0.084500, 0.000000, 0.231000, -0.084500, 0.000000, -0.231000, 0.084500, 0.000000, -0.231000, -0.084500, 0.000000, 0.001687, -0.002725, 0.237856, 0.098986, -0.120926, -0.344811, 3.787260, -3.520090, -2.747291, -0.075529, 0.026777, 0.003510, 0.996778, -2.695046, 0.995305, 0.331156, 72.152089, -23.300047, 6.265255
0.070000, 1, 1, 1, 1, 0.231000, 0.084500, 0.000000, 0.231000, -0.084500, 0.000000, -0.231000, 0.084500, 0.000000, -0.231000, -0.084500, 0.000000, 0.002878, -0.004119, 0.234287, 0.140421, -0.158634, -0.367285, 4.499759, -4.021644, -1.747436, -0.086867, 0.030950, 0.005312, 0.995725, -1.778634, 0.697654, 0.378919, 111.143942, -36.154117, 3.205267
0.080000, 1, 1, 1, 1, 0.231000, 0.084500, 0.000000, 0.231000, -0.084500, 0.000000, -0.231000, 0.084500, 0.000000, -0.231000, -0.084500, 0.000000, 0.004519, -0.005914, 0.230544, 0.188981, -0.201359, -0.379760, 5.212259, -4.523198, -0.747580, -0.092677, 0.033279, 0.007290, 0.995113, -0.471594, 0.274181, 0.395841, 150.310365, -48.418747, 0.336289
0.090000, 1, 1, 0, 1, 0.231000, 0.084500, 0.000000, 0.231000, -0.084500, 0.000000, -0.230996, 0.084502, 0.000000, -0.231000, -0.084500, 0.000000, 0.006682, -0.008162, 0.226725, 0.244666, -0.249098, -0.382237, 5.924759, -5.024752, 0.252275, -0.091022, 0.033144, 0.009318, 0.995254, 1.228913, -0.267745, 0.391866, 189.879223, -59.788621, -0.648923
0.100000, 1, 1, 0, 1, 0.231000, 0.084500, 0.000000, 0.231000, -0.084500, 0.000000, -0.220961, 0.089573, 0.000201, -0.231000, -0.084500, 0.000000, 0.009436, -0.010913, 0.222932, 0.307476, -0.301854, -0.374715, 6.637259, -5.526306, 1.252131, -0.079938, 0.029948, 0.011372, 0.996285, 3.328132, -0.917388, 0.396454, 230.086482, -69.895212, 2.460690
0.110000, 1, 1, 0, 1, 0.231000, 0.084500, 0.000000, 0.231000, -0.084500, 0.000000, -0.196373, 0.101998, 0.000686, -0.231000, -0.084500, 0.000000, 0.012843, -0.014196, 0.219264, 0.373967, -0.353417, -0.357310, 6.660910, -4.786306, 2.228727, -0.058120, 0.023383, 0.013596, 0.997943, 5.400859, -1.513305, 0.436132, 184.386871, -49.396996, 5.719117
0.120000, 1, 1, 0, 1, 0.231000, 0.084500, 0.000000, 0.231000, -0.084500, 0.000000, -0.164337, 0.118186, 0.001298, -0.231000, -0.084500, 0.000000, 0.016916, -0.017957, 0.215818, 0.440694, -0.397580, -0.330140, 6.684562, -4.046305, 3.205322, -0.027103, 0.014191, 0.016163, 0.999401, 7.013523, -1.908845, 0.510523, 137.996637, -29.942570, 8.911765
0.130000, 1, 1, 0, 1, 0.231000, 0.084500, 0.000000, 0.231000, -0.084500, 0.000000, -0.131959, 0.134547, 0.001884, -0.231000, -0.084500, 0.000000, 0.021658, -0.022123, 0.212694, 0.507658, -0.434343, -0.293204, 6.708214, -3.306303, 4.181916, 0.010808, 0.003358, 0.019199, 0.999752, 8.157589, -2.117544, 0.605630, 90.658953, -12.092287, 9.511382
0.140000, 1, 1, 0, 1, 0.231000, 0.084500, 0.000000, 0.231000, -0.084500, 0.000000, -0.106344, 0.147491, 0.002288, -0.231000, -0.084500, 0.000000, 0.027070, -0.026619, 0.209987, 0.574858, -0.463706, -0.246502, 6.731867, -2.566302, 5.158511, 0.053210, -0.008175, 0.022679, 0.998292, 8.823953, -2.156729, 0.686423, 42.506444, 3.959281, 5.841654
0.150000, 1, 1, 0, 1, 0.231000, 0.084500, 0.000000, 0.231000, -0.084500, 0.000000, -0.092575, 0.154449, 0.002357, -0.231000, -0.084500, 0.000000, 0.033156, -0.031372, 0.207796, 0.642295, -0.485669, -0.190034, 6.755519, -1.826300, 6.135106, 0.097629, -0.019534, 0.026354, 0.994682, 9.006396, -2.043774, 0.705433, -6.038169, 18.399018, -2.907698
