TimeStep, Goal_X, Goal_Y, Goal_Z, Goal_QX, Goal_QY, Goal_QZ, Goal_QW
294, 0.985801, -0.109151, -0.096611, 0.000000, 0.000000, -0.132158, 0.991229
TerrainType, step_start, step_height, step_width, stair_start, stair_height, stair_width, fissure_start, fissure_width, down_start, down_height, down_width
4, 0.532049, 0.133679, 0.739611, 0.541374, 0.094422, 1.030670, 0.555226, 0.170245, 0.000000, 0.000000, 0.000000
Time, LF_Contact, RF_Contact, LH_Contact, RH_Contact, LF_X, LF_Y, LF_Z, RF_X, RF_Y, RF_Z, LH_X, LH_Y, LH_Z, RH_X, RH_Y, RH_Z, Base_X, Base_Y, Base_Z, Base_VX, Base_VY, Base_VZ, Base_AX, Base_AY, Base_AZ, Base_QX, Base_QY, Base_QZ, Base_QW, Base_WX, Base_WY, Base_WZ, Base_WXd, Base_WYd, Base_WZd
0.000000, 1, 1, 1, 1, 0.231000, 0.084500, 3.000000, 0.231000, -0.084500, 3.000000, -0.231000, 0.084500, 3.000000, -0.231000, -0.084500, 3.000000, 0.000000, 0.000000, 3.250000, 0.000000, 0.000000, 0.000000, 0.000020, 0.000115, -9.774023, 0.000000, 0.000000, 0.000000, 1.000000, 0.000000, 0.000000, 0.000000, 0.037743, -0.006907, -0.002324
0.010000, 1, 1, 1, 1, 0.231000, 0.084500, 3.000000, 0.231000, -0.084500, 3.000000, -0.231000, 0.084500, 3.000000, -0.231000, -0.084500, 3.000000, 0.000033, 0.000008, 3.249531, 0.009792, 0.002440, -0.091788, 1.958378, 0.487880, -8.583662, -0.000025, 0.000003, -0.000015, 1.000000, -0.015483, 0.001621, -0.009258, -3.134419, 0.331300, -1.849297
0.020000, 1, 1, 1, 1, 0.231000, 0.084500, 3.000000, 0.231000, -0.084500, 3.000000, -0.231000, 0.084500, 3.000000, -0.231000, -0.084500, 3.000000, 0.000261, 0.000065, 3.248204, 0.039168, 0.009758, -0.171673, 3.916736, 0.975645, -7.393301, -0.000208, 0.000022, -0.000123, 1.000000, -0.062687, 0.006637, -0.036984, -6.306221, 0.672902, -3.695664
0.030000, 1, 1, 1, 1, 0.231000, 0.084500, 3.000000, 0.231000, -0.084500, 3.000000, -0.231000, 0.084500, 3.000000, -0.231000, -0.084500, 3.000000, 0.000881, 0.000220, 3.246137, 0.088127, 0.021953, -0.239654, 5.875095, 1.463410, -6.202940, -0.000705, 0.000075, -0.000416, 1.000000, -0.141604, 0.015119, -0.083164, -9.476720, 1.026661, -5.539833
0.040000, 1, 1, 1, 1, 0.231000, 0.084500, 3.000000, 0.231000, -0.084500, 3.000000, -0.231000, 0.084500, 3.000000, -0.231000, -0.084500, 3.000000, 0.002089, 0.000520, 3.243451, 0.156669, 0.039026, -0.295732, 7.833453, 1.951176, -5.012579, -0.001677, 0.000179, -0.000986, 0.999998, -0.252212, 0.027259, -0.147765, -12.644296, 1.407197, -7.379144
0.050000, 1, 1, 0, 1, 0.231000, 0.084500, 3.000000, 0.231000, -0.084500, 3.000000, -0.223345, 0.085314, 3.003086, -0.231000, -0.084500, 3.000000, 0.004080, 0.001016, 3.240262, 0.244796, 0.060976, -0.339906, 9.791811, 2.438941, -3.822218, -0.003280, 0.000354, -0.001924, 0.999993, -0.394472, 0.043420, -0.230719, -15.806550, 1.834968, -9.209861
0.060000, 1, 1, 0, 1, 0.231000, 0.084500, 3.000000, 0.231000, -0.084500, 3.000000, -0.180942, 0.089822, 3.019909, -0.231000, -0.084500, 3.000000, 0.007050, 0.001756, 3.236692, 0.352506, 0.087805, -0.372176, 11.750169, 2.926706, -2.631857, -0.005674, 0.000621, -0.003323, 0.999978, -0.568314, 0.064202, -0.331917, -18.960105, 2.336256, -11.027179
0.070000, 1, 1, 0, 1, 0.231000, 0.084500, 3.000000, 0.231000, -0.084500, 3.000000, -0.140225, 0.094151, 3.035079, -0.231000, -0.084500, 3.000000, 0.011195, 0.002789, 3.232859, 0.479799, 0.119511, -0.392543, 13.708528, 3.414471, -1.441496, -0.009016, 0.001005, -0.005273, 0.999945, -0.773630, 0.090496, -0.451198, -22.100282, 2.943120, -12.825219
0.080000, 1, 1, 0, 1, 0.231000, 0.084500, 3.000000, 0.231000, -0.084500, 3.000000, -0.119061, 0.096401, 3.031435, -0.231000, -0.084500, 3.000000, 0.016711, 0.004163, 3.228881, 0.626676, 0.156094, -0.401006, 15.666886, 3.902236, -0.251135, -0.013462, 0.001537, -0.007864, 0.999877, -1.010254, 0.123542, -0.588334, -25.220624, 3.693337, -14.597032
0.090000, 0, 1, 0, 1, 0.241306, 0.082298, 3787.503281, 0.231000, -0.084500, 3.000000, -0.072776, 0.101321, 3.013620, -0.231000, -0.084500, 3.000000, 0.023794, 0.005927, 3.224878, 0.793137, 0.197555, -0.397566, 17.625244, 4.390002, 0.939226, -0.019169, 0.002254, -0.011184, 0.999751, -1.277947, 0.164985, -0.743025, -28.312230, 4.630291, -16.334595
