TimeStep, Goal_X, Goal_Y, Goal_Z, Goal_QX, Goal_QY, Goal_QZ, Goal_QW
49, 1.254239, -0.493435, 0.083426, 0.000000, 0.000000, 0.036434, 0.999336
TerrainType, step_start, step_height, step_width, stair_start, stair_height, stair_width, fissure_start, fissure_width, down_start, down_height, down_width
1, 0.502306, 0.041713, 0.685217, 0.457878, 0.039664, 0.998124, 0.504869, 0.101219, 0.000000, 0.000000, 0.000000
Time, LF_Contact, RF_Contact, LH_Contact, RH_Contact, LF_X, LF_Y, LF_Z, RF_X, RF_Y, RF_Z, LH_X, LH_Y, LH_Z, RH_X, RH_Y, RH_Z, Base_X, Base_Y, Base_Z, Base_VX, Base_VY, Base_VZ, Base_AX, Base_AY, Base_AZ, Base_QX, Base_QY, Base_QZ, Base_QW, Base_WX, Base_WY, Base_WZ, Base_WXd, Base_WYd, Base_WZd
0.000000, 1, 1, 1, 1, 0.231000, 0.084500, 0.000000, 0.231000, -0.084500, 0.000000, -0.231000, 0.084500, 0.000000, -0.231000, -0.084500, 0.000000, 0.000000, 0.000000, 0.250000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, -9.806125, 0.000000, 0.000000, 0.000000, 1.000000, 0.000000, 0.000000, 0.000000, 0.000077, 0.000065, -0.000003
0.010000, 1, 1, 1, 1, 0.231000, 0.084500, 0.000000, 0.231000, -0.084500, 0.000000, -0.231000, 0.084500, 0.000000, -0.231000, -0.084500, 0.000000, 0.000012, -0.000004, 0.249544, 0.003450, -0.001228, -0.087680, 0.690057, -0.245548, -7.729867, -0.000005, -0.000015, -0.000009, 1.000000, -0.002986, -0.008792, -0.005205, -0.597364, -1.758537, -1.040973
0.020000, 1, 1, 1, 1, 0.231000, 0.084500, 0.000000, 0.231000, -0.084500, 0.000000, -0.231000, 0.084500, 0.000000, -0.231000, -0.084500, 0.000000, 0.000092, -0.000033, 0.248316, 0.013801, -0.004911, -0.154597, 1.380114, -0.491096, -5.653610, -0.000040, -0.000117, -0.000069, 1.000000, -0.011951, -0.035170, -0.020821, -1.195872, -3.516776, -2.082556
0.030000, 1, 1, 1, 1, 0.231000, 0.084500, 0.000000, 0.231000, -0.084500, 0.000000, -0.231000, 0.084500, 0.000000, -0.231000, -0.084500, 0.000000, 0.000311, -0.000110, 0.246522, 0.031053, -0.011050, -0.200752, 2.070171, -0.736644, -3.577352, -0.000134, -0.000396, -0.000234, 1.000000, -0.026916, -0.079124, -0.046863, -1.798191, -5.273718, -3.126327
0.040000, 1, 1, 1, 1, 0.231000, 0.084500, 0.000000, 0.231000, -0.084500, 0.000000, -0.231000, 0.084500, 0.000000, -0.231000, -0.084500, 0.000000, 0.000736, -0.000262, 0.244370, 0.055205, -0.019644, -0.226144, 2.760228, -0.982193, -1.501094, -0.000319, -0.000938, -0.000555, 0.999999, -0.047942, -0.140634, -0.083364, -2.408884, -7.027798, -4.174913
0.050000, 1, 1, 1, 1, 0.231000, 0.084500, 0.000000, 0.231000, -0.084500, 0.000000, -0.231000, 0.084500, 0.000000, -0.231000, -0.084500, 0.000000, 0.001438, -0.000512, 0.242068, 0.086257, -0.030694, -0.230774, 3.450285, -1.227741, 0.575164, -0.000624, -0.001831, -0.001085, 0.999998, -0.075143, -0.219663, -0.130390, -3.034308, -8.776800, -5.231991
0.060000, 1, 1, 1, 1, 0.231000, 0.084500, 0.000000, 0.231000, -0.084500, 0.000000, -0.231000, 0.084500, 0.000000, -0.231000, -0.084500, 0.000000, 0.002484, -0.000884, 0.239824, 0.124210, -0.044199, -0.214641, 4.140341, -1.473289, 2.651422, -0.001081, -0.003163, -0.001877, 0.999993, -0.108704, -0.316144, -0.188048, -3.682572, -10.517832, -6.302287
0.070000, 1, 1, 1, 1, 0.231000, 0.084500, 0.000000, 0.231000, -0.084500, 0.000000, -0.231000, 0.084500, 0.000000, -0.231000, -0.084500, 0.000000, 0.003945, -0.001404, 0.237844, 0.169064, -0.060159, -0.177746, 4.830398, -1.718837, 4.727680, -0.001722, -0.005022, -0.002984, 0.999981, -0.148903, -0.429981, -0.256498, -4.363464, -12.247262, -7.391577
0.080000, 1, 1, 1, 1, 0.231000, 0.084500, 0.000000, 0.231000, -0.084500, 0.000000, -0.231000, 0.084500, 0.000000, -0.231000, -0.084500, 0.000000, 0.005888, -0.002095, 0.236338, 0.220818, -0.078575, -0.120087, 5.520455, -1.964386, 6.803938, -0.002582, -0.007492, -0.004460, 0.999959, -0.196120, -0.561036, -0.335965, -5.088343, -13.960649, -8.506685
0.090000, 1, 1, 0, 1, 0.231000, 0.084500, 0.000000, 0.231000, -0.084500, 0.000000, -0.230997, 0.084499, 0.000001, -0.231000, -0.084500, 0.000000, 0.008384, -0.002983, 0.235512, 0.279473, -0.099447, -0.041667, 6.210512, -2.209934, 8.880196, -0.003696, -0.010660, -0.006362, 0.999916, -0.250859, -0.709123, -0.426744, -5.869982, -15.652636, -9.655475
